,Event,Site,Date,Round,White,Black,Result,BlackElo,BlackRatingDiff,ECO,Termination,TimeControl,UTCDate,UTCTime,Variant,WhiteElo,WhiteRatingDiff
0,Rated Blitz game,https://lichess.org/hLKe26oo,2021.02.28,?,DaenaliaEvandruile,mecooper98,0-1,1056,+6,A40,Normal,180+0,2021.02.28,23:40:58,Standard,1041,-5
1,Rated Bullet game,https://lichess.org/izRe1KsW,2021.02.28,?,cetinell,DaenaliaEvandruile,0-1,1232,+7,D00,Time forfeit,60+0,2021.02.28,14:53:07,Standard,1269,-6
2,Rated Blitz game,https://lichess.org/g2zoftiJ,2021.02.28,?,DaenaliaEvandruile,kosmats,1-0,920,-4,D00,Time forfeit,180+0,2021.02.28,14:45:05,Standard,1037,+4
3,Rated Blitz game,https://lichess.org/ncljcj6C,2021.02.28,?,chesspitt,DaenaliaEvandruile,0-1,1032,+5,C21,Time forfeit,180+0,2021.02.28,14:37:04,Standard,1002,-5
4,Rated Blitz game,https://lichess.org/jmglcgSQ,2021.02.28,?,Gape_Horn69,DaenaliaEvandruile,0-1,1027,+5,A00,Normal,180+0,2021.02.28,14:35:21,Standard,947,-7
5,Rated Blitz game,https://lichess.org/Jhd3QPvu,2021.02.28,?,DaenaliaEvandruile,yonatantal,0-1,1055,+81,C28,Normal,180+0,2021.02.28,14:33:55,Standard,1032,-5
6,Rated Bullet game,https://lichess.org/CGfondel,2021.02.28,?,chagib23,DaenaliaEvandruile,0-1,1227,+5,A01,Normal,60+0,2021.02.28,14:31:01,Standard,1208,-5
7,Rated Rapid game,https://lichess.org/roW0TTiM,2021.02.28,?,DaenaliaEvandruile,AB3231,0-1,1226,+7,D00,Normal,600+0,2021.02.28,04:29:37,Standard,1269,-6
8,Rated Rapid game,https://lichess.org/psRYbdRV,2021.02.28,?,Dodong_Janjan,DaenaliaEvandruile,0-1,1263,+6,A02,Normal,600+0,2021.02.28,04:17:02,Standard,1287,-6
9,Rated Rapid game,https://lichess.org/LTjtHkmY,2021.02.28,?,Fear_Lost1,DaenaliaEvandruile,1-0,1269,-6,A40,Normal,600+0,2021.02.28,03:57:36,Standard,1205,+7
10,Rated Rapid game,https://lichess.org/QFIVammz,2021.02.28,?,DaenaliaEvandruile,Fear_Lost1,1/2-1/2,1204,+1,C26,Normal,600+0,2021.02.28,03:44:08,Standard,1271,-2
11,Rated Rapid game,https://lichess.org/UgFpYUSH,2021.02.28,?,Fear_Lost1,DaenaliaEvandruile,1-0,1277,-6,D02,Normal,600+0,2021.02.28,03:33:58,Standard,1196,+8
12,Rated Rapid game,https://lichess.org/8PcDtPEJ,2021.02.28,?,DaenaliaEvandruile,Fear_Lost1,1-0,1201,-5,C24,Normal,600+0,2021.02.28,03:25:34,Standard,1273,+4
13,Rated Rapid game,https://lichess.org/buWwUpcw,2021.02.28,?,DaenaliaEvandruile,Kheb42,1-0,1256,-5,B20,Normal,600+0,2021.02.28,01:43:01,Standard,1267,+6
14,Rated Rapid game,https://lichess.org/HOaXBdwa,2021.02.28,?,Neiklot92,DaenaliaEvandruile,1/2-1/2,1267,+0,A03,Normal,600+0,2021.02.28,01:24:15,Standard,1226,+1
15,Rated Rapid game,https://lichess.org/5xynj4on,2021.02.28,?,Enderofworlds,DaenaliaEvandruile,0-1,1260,+7,C50,Normal,600+0,2021.02.28,01:22:40,Standard,1301,-8
16,Rated Rapid game,https://lichess.org/qJgTaRAs,2021.02.28,?,DaenaliaEvandruile,BBenk,1/2-1/2,1336,-2,B00,Normal,600+0,2021.02.28,00:59:53,Standard,1259,+1
17,Rated Rapid game,https://lichess.org/YVp1X7iI,2021.02.28,?,DaenaliaEvandruile,ramonfajardo,0-1,1287,+32,C23,Normal,600+0,2021.02.28,00:42:25,Standard,1264,-5
18,Rated Rapid game,https://lichess.org/7BXP8aoi,2021.02.28,?,vsantos62,DaenaliaEvandruile,1-0,1270,-6,C60,Normal,600+0,2021.02.28,00:25:40,Standard,1260,+20
19,Rated Rapid game,https://lichess.org/GGubtgVK,2021.02.28,?,S810nix,DaenaliaEvandruile,0-1,1265,+5,C23,Normal,600+0,2021.02.28,00:12:48,Standard,1178,-4
20,Rated Blitz game,https://lichess.org/upL55xJ3,2021.02.27,?,SandraSivadas,DaenaliaEvandruile,1-0,1037,-5,C41,Normal,180+0,2021.02.27,15:24:15,Standard,1064,+5
21,Rated Blitz game,https://lichess.org/DJOUDwyQ,2021.02.27,?,DaenaliaEvandruile,Jimbojumbo,1-0,1058,-6,C23,Normal,180+0,2021.02.27,15:23:09,Standard,1031,+6
22,Rated Blitz game,https://lichess.org/6RkGgAvB,2021.02.27,?,DaenaliaEvandruile,UM4R,1-0,1098,-7,C28,Time forfeit,180+0,2021.02.27,15:16:34,Standard,1024,+7
23,Rated Blitz game,https://lichess.org/FrGWXU1Z,2021.02.27,?,DaenaliaEvandruile,blackwarrior1,0-1,1080,+5,C26,Normal,180+0,2021.02.27,10:51:06,Standard,1029,-5
24,Rated Blitz game,https://lichess.org/u1quDzVl,2021.02.27,?,tunahanv,DaenaliaEvandruile,1-0,1035,-6,C55,Normal,180+0,2021.02.27,10:43:38,Standard,983,+7
25,Rated Rapid game,https://lichess.org/UwbX3Muz,2021.02.27,?,DaenaliaEvandruile,meningreen7,1-0,1231,-67,C23,Normal,600+0,2021.02.27,04:38:42,Standard,1260,+5
26,Rated Rapid game,https://lichess.org/XoHRqruS,2021.02.27,?,Rambode,DaenaliaEvandruile,1-0,1267,-7,C25,Normal,600+0,2021.02.27,04:32:08,Standard,1201,+9
27,Rated Bullet game,https://lichess.org/mAhyVucx,2021.02.27,?,DaenaliaEvandruile,Okeson,1-0,1222,-13,B20,Time forfeit,60+0,2021.02.27,00:12:33,Standard,1221,+6
28,Rated Rapid game,https://lichess.org/9XYQpyvy,2021.02.26,?,nolan_fraicola,DaenaliaEvandruile,0-1,1260,+7,D00,Normal,600+0,2021.02.26,23:56:18,Standard,1268,-5
29,Rated Rapid game,https://lichess.org/HQ0ozakt,2021.02.26,?,ChildOfHonor,DaenaliaEvandruile,0-1,1253,+7,C50,Normal,600+0,2021.02.26,23:53:48,Standard,1279,-17
30,Rated Blitz game,https://lichess.org/yNca0R7T,2021.02.26,?,DaenaliaEvandruile,MtnWizard,1-0,1004,-5,A40,Normal,180+0,2021.02.26,15:24:54,Standard,1030,+5
31,Rated Blitz game,https://lichess.org/FwglwPSC,2021.02.26,?,buyubh13,DaenaliaEvandruile,0-1,1024,+6,C20,Normal,180+0,2021.02.26,15:19:37,Standard,1018,-6
32,Rated Blitz game,https://lichess.org/2Eh6djrA,2021.02.26,?,avenger_007,DaenaliaEvandruile,1-0,1030,-6,D00,Normal,180+0,2021.02.26,15:13:17,Standard,1032,+23
33,Rated Blitz game,https://lichess.org/ssyZJAyn,2021.02.26,?,DaenaliaEvandruile,MotorekJP,1-0,1027,-6,B23,Normal,180+0,2021.02.26,15:10:57,Standard,1024,+6
34,Rated Blitz game,https://lichess.org/pXscYeLn,2021.02.26,?,GitGuder,DaenaliaEvandruile,1/2-1/2,1025,-1,C64,Normal,180+0,2021.02.26,15:04:35,Standard,925,+11
35,Rated Blitz game,https://lichess.org/8ZwMOTUf,2021.02.26,?,DaenaliaEvandruile,MSP725,0-1,1030,+7,C24,Normal,180+0,2021.02.26,11:52:06,Standard,1031,-6
36,Rated Blitz game,https://lichess.org/kvNdXtgJ,2021.02.26,?,DaenaliaEvandruile,ismiazem,1-0,958,-5,B02,Time forfeit,180+0,2021.02.26,11:45:35,Standard,1026,+5
37,Rated Blitz game,https://lichess.org/W65XWje1,2021.02.26,?,Zdradeusz,DaenaliaEvandruile,1-0,1032,-6,D20,Normal,180+0,2021.02.26,11:40:29,Standard,1015,+20
38,Rated Blitz game,https://lichess.org/GJQOgIFM,2021.02.26,?,DaenaliaEvandruile,Boris_Zaharyas,1-0,1073,-20,C46,Normal,180+0,2021.02.26,11:35:06,Standard,1025,+7
39,Rated Blitz game,https://lichess.org/O2P4VUbU,2021.02.26,?,DaenaliaEvandruile,Leonidas1401,1-0,1076,-6,C25,Time forfeit,180+0,2021.02.26,11:33:19,Standard,1018,+7
40,Rated Blitz game,https://lichess.org/L7ha5fYa,2021.02.26,?,hkalayci,DaenaliaEvandruile,0-1,1011,+7,A00,Time forfeit,180+0,2021.02.26,07:44:48,Standard,1070,-7
41,Rated Blitz game,https://lichess.org/dfQrKX0o,2021.02.26,?,PatRat0102,DaenaliaEvandruile,1/2-1/2,1010,+1,C44,Normal,180+0,2021.02.26,07:39:14,Standard,1035,-2
42,Rated Bullet game,https://lichess.org/b0Abtcr2,2021.02.25,?,DaenaliaEvandruile,Iplayshogi1,1/2-1/2,1193,+0,B20,Normal,60+0,2021.02.25,07:54:43,Standard,1221,+0
43,Rated Bullet game,https://lichess.org/chsSEtUA,2021.02.25,?,hossam-alwan,DaenaliaEvandruile,0-1,1214,+7,C44,Time forfeit,60+0,2021.02.25,07:47:49,Standard,1284,-7
44,Rated Bullet game,https://lichess.org/TdwMP6aq,2021.02.25,?,DaenaliaEvandruile,Akshat221b,0-1,1250,+5,C25,Normal,60+0,2021.02.25,07:44:47,Standard,1219,-5
45,Rated Bullet game,https://lichess.org/hkjMUkMx,2021.02.25,?,Aadrefe88,DaenaliaEvandruile,1-0,1225,-6,A45,Normal,60+0,2021.02.25,07:43:28,Standard,1234,+6
46,Rated Bullet game,https://lichess.org/KOthHGFw,2021.02.23,?,Baisal1307,DaenaliaEvandruile,0-1,1219,+6,A00,Time forfeit,60+0,2021.02.23,14:09:05,Standard,1259,-7
47,Rated Bullet game,https://lichess.org/PmqUDvAI,2021.02.23,?,DaenaliaEvandruile,GreySup,1/2-1/2,1247,-1,B10,Normal,60+0,2021.02.23,14:06:21,Standard,1218,+1
48,Rated Bullet game,https://lichess.org/0mK6j7je,2021.02.23,?,DaenaliaEvandruile,shikamaru666,1-0,1159,-5,C26,Time forfeit,60+0,2021.02.23,14:03:47,Standard,1213,+5
49,Rated Bullet game,https://lichess.org/wf5hxHnq,2021.02.23,?,yuChess,DaenaliaEvandruile,1-0,1219,-6,A10,Normal,60+0,2021.02.23,14:02:02,Standard,1245,+6
50,Rated Bullet game,https://lichess.org/pYilT8Mk,2021.02.23,?,seeKNDstroy2408,DaenaliaEvandruile,1-0,1224,-5,C50,Time forfeit,60+0,2021.02.23,13:59:17,Standard,1217,+6
51,Rated Bullet game,https://lichess.org/yVA1wGtc,2021.02.23,?,DaenaliaEvandruile,Dani3lsad,1-0,1134,-7,C23,Normal,60+0,2021.02.23,13:57:25,Standard,1220,+4
52,Rated Bullet game,https://lichess.org/UyMS5OgG,2021.02.23,?,DaenaliaEvandruile,biswasghat,0-1,1203,+6,B06,Normal,60+0,2021.02.23,13:55:20,Standard,1226,-6
53,Rated Rapid game,https://lichess.org/KM9MTEqi,2021.02.23,?,FranSanfrisco,DaenaliaEvandruile,0-1,1247,+6,A45,Normal,600+0,2021.02.23,13:38:36,Standard,1204,-5
54,Rated Bullet game,https://lichess.org/blk9HvqL,2021.02.23,?,nenjgo95,DaenaliaEvandruile,0-1,1220,+6,C45,Time forfeit,60+0,2021.02.23,13:35:43,Standard,1230,-6
55,Rated Bullet game,https://lichess.org/kRvaMw8j,2021.02.22,?,DaenaliaEvandruile,sidestory,0-1,1217,+29,B00,Time forfeit,60+0,2021.02.22,14:27:45,Standard,1226,-6
56,Rated Bullet game,https://lichess.org/M7IiUl89,2021.02.22,?,DaenaliaEvandruile,Rabshab,0-1,1234,+6,C00,Normal,60+0,2021.02.22,14:25:45,Standard,1231,-5
57,Rated Blitz game,https://lichess.org/GCXsloJp,2021.02.22,?,axlyy,DaenaliaEvandruile,0-1,1004,+6,C46,Normal,180+0,2021.02.22,14:23:23,Standard,1021,-6
58,Rated Blitz game,https://lichess.org/VYuoKkEc,2021.02.22,?,DaenaliaEvandruile,khalidkhalid888,1-0,1046,-7,B01,Time forfeit,180+0,2021.02.22,07:23:46,Standard,998,+6
59,Rated Blitz game,https://lichess.org/df1CrUkN,2021.02.22,?,khalidkhalid888,DaenaliaEvandruile,0-1,991,+7,C01,Normal,180+0,2021.02.22,07:20:52,Standard,1052,-6
60,Rated Blitz game,https://lichess.org/8J0sllQZ,2021.02.22,?,DaenaliaEvandruile,copcop1,1-0,940,-5,B01,Time forfeit,180+0,2021.02.22,06:28:57,Standard,986,+5
61,Rated Bullet game,https://lichess.org/Os5IOSmW,2021.02.22,?,DaenaliaEvandruile,IPC0203,0-1,1214,+6,C25,Normal,60+0,2021.02.22,04:08:53,Standard,1237,-6
