,Event,Site,Date,Round,White,Black,Result,CurrentPosition,Timezone,ECO,ECOURL,UTDate,UTCTime,WhiteELO,BlackELO,Timecontrol,Termination,StartTime,EndDate,EndTime,Link,whitemoves,blackmoves
0,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,e4,e5
1,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nf3,c6
2,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,d4,d5
3,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nxe5,f6
4,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nf3,dxe4
5,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nfd2,Qxd4
6,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nc3,e3
7,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,fxe3,Qxe3+
8,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Be2,Bb4
9,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nc4,Bxc3+
10,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,bxc3,Qxc3+
11,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Bd2,Qd4
12,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,c3,Qd5
13,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Ne3,Qf7
14,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,O-O,Be6
15,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Nf5,Bxf5
16,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Rxf5,Ne7
17,Live Chess,Chess.com,2020.10.13,-,GodTierAsian,Pablo-BOT,1-0,8/8/2K5/kQ6/3B3p/8/8/8 b - -,UTC,C40,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Gunderam-Gambit,2020.10.13,02:23:13,2205,1542,120+1,GodTierAsian won by checkmate,02:23:13,2020.10.13,02:26:59,https://www.chess.com/live/game/5575795372,Rf3,b5
